node1,label,node2
Q1086823,in,cluster_0_7_41
Q345517,in,cluster_0_4_41
Q432694,in,cluster_0_4_30
Q75326809,in,cluster_0_4_41
Q75326777,in,cluster_0_7_41
Q75326779,in,cluster_0_7_41
Q75326780,in,cluster_0_7_41
Q96079835,in,cluster_0_7_41
Q96079836,in,cluster_0_4_41
Q96079838,in,cluster_0_7_41
Q76363382,in,cluster_0_7_41
Q76363384,in,cluster_0_4_41
Q76363386,in,cluster_0_7_41
Q11673,in,cluster_0_7_40
Q467912,in,cluster_0_7_40
Q134549,in,cluster_0_7_23
Q9696,in,cluster_0_7_30
Q313696,in,cluster_0_7_23
Q236540,in,cluster_0_4_23
Q441424,in,cluster_0_2_47
Q7926996,in,cluster_0_4_23
Q25310,in,cluster_0_7_34
Q265595,in,cluster_0_4_23
Q268799,in,cluster_0_4_23
Q272401,in,cluster_0_4_23
Q272908,in,cluster_0_4_30
Q505178,in,cluster_0_4_23
Q2383370,in,cluster_0_7_47
Q3048622,in,cluster_0_4_47
Q948920,in,cluster_0_4_47
Q1352872,in,cluster_0_2_40
Q258661,in,cluster_0_4_40
Q1386420,in,cluster_0_7_40
Q1804720,in,cluster_0_7_40
Q1975383,in,cluster_0_4_40
Q273833,in,cluster_0_4_40
Q467861,in,cluster_0_4_40
Q5112377,in,cluster_0_7_40
Q5178632,in,cluster_0_4_40
Q5301573,in,cluster_0_4_40
Q6794923,in,cluster_0_4_40
Q165421,in,cluster_0_4_5
Q230303,in,cluster_0_4_5
Q316064,in,cluster_0_4_5
Q3290402,in,cluster_0_7_5
Q75326753,in,cluster_0_7_5
Q230654,in,cluster_0_4_49
Q317248,in,cluster_0_4_56
Q2685,in,cluster_0_4_15
Q3436301,in,cluster_0_7_56
Q3529079,in,cluster_0_7_56
Q4773467,in,cluster_0_2_56
Q6769708,in,cluster_0_4_56
Q28109921,in,cluster_0_4_15
Q28109928,in,cluster_0_4_15
Q4521676,in,cluster_0_4_15
Q901541,in,cluster_0_7_15
Q23800185,in,cluster_0_4_15
Q75494768,in,cluster_0_7_15
Q23800370,in,cluster_0_4_15
Q3288486,in,cluster_0_7_15
Q96076900,in,cluster_0_4_15
Q38196234,in,cluster_0_7_15
Q24004771,in,cluster_0_4_15
Q96077739,in,cluster_0_7_56
Q96077740,in,cluster_0_7_56
Q65589427,in,cluster_0_4_56
Q43100988,in,cluster_0_7_15
Q503706,in,cluster_0_4_15
Q4491,in,cluster_0_4_15
Q65589450,in,cluster_0_7_56
Q75496774,in,cluster_0_7_15
Q4616,in,cluster_0_4_23
