node1,label,node2
Smithyton,in,cluster_11
House Shermer of Smithyton,in,cluster_11
House Mormont of Bear Island,in,cluster_1656
Maege Mormont,in,cluster_1656
Margaery Tyrell,in,cluster_627
Joffrey Baratheon,in,cluster_35
Maron Nymeros Martell,in,cluster_26
House Nymeros Martell of Sunspear,in,cluster_26
House Gargalen of Salt Shore,in,cluster_1907
Dorne,in,cluster_26
Sharp Point,in,cluster_11
House Bar Emmon of Sharp Point,in,cluster_11
Lanna Lannister,in,cluster_35
House Jast,in,cluster_35
House Moore,in,cluster_1907
House Arryn of the Eyrie,in,cluster_1907
Harlan Hunter,in,cluster_627
House Hunter of Longbow Hall,in,cluster_627
House Celtigar of Claw Isle,in,cluster_26
House Baratheon of King's Landing,in,cluster_26
Manfred Dondarrion,in,cluster_26
House Dondarrion of Blackhaven,in,cluster_26
House Crakehall of Crakehall,in,cluster_1917
Crake,in,cluster_1917
House Hayford of Hayford,in,cluster_26
The Crownlands,in,cluster_26
Willam Dustin,in,cluster_1656
Barbrey Dustin,in,cluster_1656
Jeyne Lothston,in,cluster_1917
House Lothston of Harrenhal,in,cluster_1917
House Footly of Tumbleton,in,cluster_11
House Tyrell of Highgarden,in,cluster_11
Blackhaven,in,cluster_26
House Foote,in,cluster_35
House Lannister of Casterly Rock,in,cluster_35
House Lannister of Darry,in,cluster_35
House Baelish of Harrenhal,in,cluster_1917
Daenora Targaryen,in,cluster_26
House Targaryen of King's Landing,in,cluster_26
Enger,in,cluster_1917
House Tully of Riverrun,in,cluster_1917
Denys Darklyn,in,cluster_26
House Darklyn of Duskendale,in,cluster_26
Weese,in,cluster_35
Rolph Spicer,in,cluster_35
House Westerling of the Crag,in,cluster_35
Gran Goodbrother,in,cluster_200
House Goodbrother of Hammerhorn,in,cluster_200
Simon Staunton,in,cluster_1675
House Staunton of Rook's Rest,in,cluster_14
House Ryswell of the Rills,in,cluster_1656
Rodrik Ryswell,in,cluster_1656
Dragonstone (House Baratheon of Dragonstone),in,cluster_627
House Baratheon of Storm's End,in,cluster_627
Tommen Baratheon,in,cluster_35
Jorah Stark,in,cluster_1656
House Stark of Winterfell,in,cluster_1656
House Umber of the Last Hearth,in,cluster_1656
The North,in,cluster_1656
Alesander Staedmon,in,cluster_627
House Staedmon of Broad Arch,in,cluster_627
House Brook,in,cluster_26
Robert Ashford,in,cluster_627
House Ashford of Ashford,in,cluster_627
Sansa Stark,in,cluster_1917
Ysilla Royce,in,cluster_1907
House Redfort of Redfort,in,cluster_1907
Waldon Wynch,in,cluster_200
House Wynch of Iron Holt,in,cluster_200
Stannis Seaworth,in,cluster_627
House Seaworth of Cape Wrath,in,cluster_627
Otho Bracken,in,cluster_1675
House Bracken of Stone Hedge,in,cluster_14
House Jordayne of the Tor,in,cluster_26
Wyndhall,in,cluster_35
House Estren of Wyndhall,in,cluster_35
Eleanor Mooton,in,cluster_11
Dickon Tarly,in,cluster_11
Willam Wythers,in,cluster_11
House Wythers,in,cluster_11
Myles Smallwood,in,cluster_1917
House Smallwood of Acorn Hall,in,cluster_1917
Stafford Lannister,in,cluster_35
Artys I Arryn,in,cluster_1907
Hosteen Frey,in,cluster_1675
House Frey of the Crossing,in,cluster_14
Viserys I,in,cluster_26
Alicent Hightower,in,cluster_26
House Cox of Saltpans,in,cluster_1917
Quincy Cox,in,cluster_1917
House Pommingham,in,cluster_11
The Reach,in,cluster_11
House Errol of Haystack Hall,in,cluster_627
Sebastion Errol,in,cluster_627
Rodwell Stark,in,cluster_1656
Myriame Manderly,in,cluster_1656
Richard Morrigen,in,cluster_627
House Morrigen of Crow's Nest,in,cluster_627
House Westford,in,cluster_35
The Westerlands,in,cluster_35
House Lyberr,in,cluster_11
House Overton,in,cluster_1656
House Bolton of the Dreadfort,in,cluster_1656
Wynafrei Whent,in,cluster_35
Danwell Frey,in,cluster_35
House Knott,in,cluster_1656
Ygon Farwynd,in,cluster_200
House Farwynd of the Lonely Light,in,cluster_200
Poddingfield,in,cluster_627
House Peasebury of Poddingfield,in,cluster_627
Mariah Martell,in,cluster_26
Maekar I,in,cluster_26
Feastfires,in,cluster_35
House Prester of Feastfires,in,cluster_35
Wex Pyke,in,cluster_200
House Botley of Lordsport,in,cluster_200
The Stormlands,in,cluster_627
Rhaena Targaryen,in,cluster_1907
Tobbot,in,cluster_1675
House Clegane,in,cluster_14
House Farman of Faircastle,in,cluster_35
Sebaston Farman,in,cluster_35
House Chelsted,in,cluster_26
Bellena Hawick,in,cluster_1675
House Breakstone,in,cluster_1907
The Vale,in,cluster_1907
House Paege,in,cluster_1917
Harlan Grandison,in,cluster_627
House Grandison of Grandview,in,cluster_627
Wendell Webber,in,cluster_11
House Webber of Coldmoat,in,cluster_11
Davos Seaworth,in,cluster_627
House Baratheon of Dragonstone,in,cluster_627
House Selmy of Harvest Hall,in,cluster_26
House Blackwood of Raventree Hall,in,cluster_1656
Orys Baratheon,in,cluster_627
Alys Frey,in,cluster_1675
House Hastwyck,in,cluster_11
House Blackmyre,in,cluster_200
The Neck,in,cluster_200
Delp,in,cluster_1917
Owen Norrey,in,cluster_1656
House Norrey,in,cluster_1656
Grey Worm,in,cluster_26
Jon Arryn,in,cluster_1907
Jeyne Royce,in,cluster_1907
House Hutcheson,in,cluster_11
House Egen,in,cluster_1907
House Ruttiger,in,cluster_35
Rhaenys Targaryen,in,cluster_26
House Velaryon of Driftmark,in,cluster_26
House Chyttering,in,cluster_26
Amory Lorch,in,cluster_35
Myles Manwoody,in,cluster_26
House Manwoody of Kingsgrave,in,cluster_26
Lysa Arryn,in,cluster_1917
Jon Wylde,in,cluster_627
Elyana Vypren,in,cluster_627
Three Towers,in,cluster_1917
House Costayne of Three Towers,in,cluster_1917
Eden Risley,in,cluster_11
House Risley,in,cluster_11
Elaena Targaryen,in,cluster_26
House Penrose of Parchments,in,cluster_26
House Redwyne of the Arbor,in,cluster_11
Gilbert of the Vines,in,cluster_11
Brienne of Tarth,in,cluster_627
House Tarth of Evenfall Hall,in,cluster_627
Wynafryd Manderly,in,cluster_1656
House Manderly of White Harbor,in,cluster_1656
House Nayland of Hag's Mire,in,cluster_1917
The Riverlands,in,cluster_1917
House Cuy of Sunhouse,in,cluster_11
Lenwood Tawney,in,cluster_200
House Tawney of Orkmont,in,cluster_200
Eddard Stark,in,cluster_35
Catelyn Stark,in,cluster_35
Grunt,in,cluster_1656
Luthor Tyrell,in,cluster_11
Naerys Targaryen,in,cluster_26
House Hollard,in,cluster_26
Richard Lonmouth,in,cluster_627
House Lonmouth,in,cluster_627
Rhea Royce,in,cluster_1907
House Royce of Runestone,in,cluster_1907
Edgerran Oakheart,in,cluster_1917
House Oakheart of Old Oak,in,cluster_1917
Tristifer Botley,in,cluster_200
House Longthorpe of Longsister,in,cluster_1907
House Sunderland of the Three Sisters,in,cluster_1907
Philip Foote,in,cluster_35
Rhaella Targaryen,in,cluster_26
