spotify.id,allmusic.id
0,6746
6,2048
25980,23087
11063,26450
15447,20158
4747,24824
25898,24505
22105,33651
21,28879
32,32094
4689,9142
37,33375
19464,9206
15369,8945
25891,16445
25891,16524
4770,31602
94,11845
4808,30169
85,33312
179,33312
4742,3437
88,3437
19479,954
19538,1624
102,1624
11208,6713
114,8251
26010,32578
116,32578
124,33334
130,3188
266,8324
266,34359
4937,8324
4937,34359
140,31608
4840,6419
4815,6419
165,6419
4812,28768
4812,28718
182,28768
182,28718
191,5307
191,34213
26161,1998
26168,34443
385,34155
1357,6754
12020,9217
232,5206
269,20162
269,20167
269,20165
269,5071
5035,20162
5035,20167
5035,20165
5035,5071
374,20162
374,20167
374,20165
374,5071
270,31559
376,31559
274,34580
15646,3288
19722,3288
15654,28224
318,33501
330,27778
330,2805
15650,27778
15650,2805
404,487
26257,6699
5147,487
365,28523
433,4669
433,33414
456,29099
457,31521
5203,32726
472,11586
5255,11586
476,5992
503,4124
5369,31492
5369,31478
529,31492
529,31478
531,5812
5221,5812
5202,34177
642,1591
656,11840
22553,11840
5414,11840
682,33486
11573,32633
20020,5607
773,26465
908,3996
5701,3996
912,32755
921,26894
26604,1461
972,1461
5858,5761
26548,33324
20148,32715
20246,3824
1178,18809
22763,9646
16242,20260
5905,20260
1042,4120
1155,6305
1155,6310
1097,32067
6060,31940
1171,31940
5936,18828
26678,18828
1209,10259
22887,3974
1210,3974
1230,10254
1242,32071
1258,11276
1343,11276
26820,8602
16430,8602
1288,18806
1290,4005
6158,4005
1334,2040
6293,2040
16477,11785
1369,7040
6164,7040
23002,4014
1397,9622
1397,9621
1510,18812
1510,6963
20544,31963
1473,11238
16604,32463
1490,11245
1509,34350
6563,3758
1511,27290
6568,27290
1524,4027
6564,4027
1527,32874
6495,25795
1543,9115
12269,34346
23157,34200
1597,26485
1600,27289
6700,27289
6473,32504
1604,32504
12263,4029
6569,32863
1643,32863
1650,8580
16780,3832
23198,8331
23198,5789
6686,6645
12257,8331
20730,8331
20674,1704
12314,35664
1714,34440
1723,4041
1739,18807
6803,18807
1750,5334
23262,9618
27234,9618
16852,5201
1775,25779
1781,31772
6814,31772
6745,4096
1788,4096
6817,11936
1794,11936
1800,34416
12396,20668
1809,29253
1814,4122
1921,4122
16989,27190
27372,27190
1828,1993
1836,19136
16891,20281
1867,8318
6858,5292
12350,9922
16907,27546
12390,27546
1901,5781
27299,5788
20921,4149
27397,4149
27397,8393
27397,9787
6985,33784
27415,33913
7026,4149
7026,9787
1945,1702
1947,1974
1975,4163
12447,11991
24114,10619
24114,5457
24114,18112
24114,18130
24114,73
2000,29120
2008,35504
2008,25805
2013,22080
2013,22088
2013,22109
2013,1320
2013,22054
2013,6465
2013,6494
2013,22143
2013,22046
2013,6533
2013,22195
2014,22144
2014,6532
2014,1318
2014,6466
2014,22310
2014,22108
2014,22089
2014,22056
2014,22133
2014,5860
2014,6490
2017,24549
2018,25806
8759,2876
13735,22510
24087,2876
8757,29567
13733,6894
18200,22345
8713,12724
8713,12647
8713,12664
8713,12683
8713,12688
2046,10956
2048,10777
13828,27447
13840,35401
13840,34515
18265,27327
24159,35384
24159,29713
24159,15679
24159,34518
24159,2778
24159,8681
24159,15636
24159,35405
24159,7715
21139,25798
2056,2321
2098,22924
21165,33220
21165,666
2104,14319
2104,14446
2104,14492
2104,17723
2104,16523
2104,16536
2104,16518
2104,7822
24127,13540
24127,13511
24127,13723
24127,25682
24127,25655
24127,13547
24127,13534
24117,25654
24117,3497
24117,13724
24117,13530
24117,13514
24117,13542
24117,13531
2110,14357
2110,14369
2097,26904
2097,26797
2101,14238
2101,28611
2111,17990
2111,28650
2112,10742
2117,28610
2118,14358
2118,28649
2119,23338
2119,23358
2120,22206
2120,6391
2120,1313
2120,6491
2120,22102
2120,6464
2120,6527
2120,22065
2120,5864
2124,24841
24121,18900
24121,18986
24121,18844
24121,26613
24121,18965
24121,19040
24121,18936
24121,18937
2143,3215
24205,24111
24205,24103
24205,10755
24205,33757
24205,2279
2187,22953
24226,17464
24226,22190
24226,13672
2157,17330
2157,17328
2157,17359
2157,14339
2157,17343
2157,14292
2157,17263
2157,17274
2157,17399
2157,17412
2157,14509
2157,17416
2157,17296
2157,17981
2157,3941
2157,28838
2157,14392
2157,17309
24218,1691
24218,501
2165,6514
2165,22100
2165,22044
2165,22050
2165,22066
2165,6459
2165,1300
2165,6524
2165,6413
2165,5830
2165,6739
2165,22047
2165,22059
2165,22123
2167,14511
2167,3943
2167,17364
2167,17312
2167,17411
2167,17383
2167,17384
2167,14300
2167,17310
2172,14395
2172,17276
2172,14295
2174,10888
2174,33360
8902,29521
2186,27279
2186,17408
2186,14294
2186,14391
2186,17417
2186,17324
2186,25623
2186,17381
2237,27279
